tau,time_s,x,z_m,P_Pa,P_bar,T_K,u_m_s,rho_g_kg_m3,y_N2,q_N2_mol_kg,qstar_N2_mol_kg,Pi_N2_bar,y_H2,q_H2_mol_kg,qstar_H2_mol_kg,Pi_H2_bar,y_NH3,q_NH3_mol_kg,qstar_NH3_mol_kg,Pi_NH3_bar,sum_y
0.011421,0.5710500000000001,0.775,0.775,1000125.1399397937,10.001251399397937,473.15000528030924,0.09434515654615076,2.1665015076125886,0.25025577651940173,0.023527561861233972,0.023553759646878152,2.5028709351220844,0.7497432235814305,0.017645359104415233,0.01764122284280575,7.498370464032903,9.998991694799562e-07,0.00047054397811180685,0.0004705439889061072,1.0000242968018249e-05,1.0000000000000018
0.011421,0.5710500000000001,0.8,0.8,1000111.2349273486,10.001112349273486,473.1500035983061,0.09434516858540577,2.1663962888864066,0.2502444127677798,0.02352743302790355,0.02355239450963017,2.5027224868685343,0.749754587320875,0.01764538408166109,0.017641268820627817,7.498379862179248,9.999113470778198e-07,0.00047054397613589165,0.0004705439763033782,1.0000225721438669e-05,1.0000000000000018
0.011421,0.5710500000000001,0.825,0.825,1000097.3300987342,10.000973300987342,473.15000199452896,0.09434533876054967,2.1662779345748984,0.2502310611890906,0.02352731051103368,0.023550844518296657,2.5025541620298255,0.7497679388875034,0.017645407404949756,0.017641363216095777,7.4984091387502305,9.99923407843999e-07,0.00047054397416487737,0.0004705439636675931,1.0000207304880111e-05,1.0000000000000018
0.011421,0.5710500000000001,0.85,0.85,1000083.4254429189,10.000834254429188,473.15000047878743,0.09434566747147892,2.166149184802345,0.2502161363164133,0.02352719510306203,0.0235491482335672,2.50237010708411,0.7497828637482123,0.017645428866689596,0.017641495929610188,7.498454147157137,9.999353761945594e-07,0.00047054397219938303,0.0004705439510067769,1.0000187962462088e-05,1.000000000000002
0.011421,0.5710500000000001,0.875,0.875,1000069.5209442975,10.000695209442975,473.1499990586261,0.09434615503142188,2.166012513840299,0.2502000124793237,0.023527087413488353,0.023547340475012064,2.5021740662045455,0.749798987573404,0.017645448307200228,0.0176416578413134,7.498511143070536,9.999472741826081e-07,0.0004705439702398841,0.0004705439383281116,1.0000167914613574e-05,1.0000000000000018
0.011421,0.5710500000000001,0.9,0.9,1000055.6165831643,10.000556165831643,473.149997739551,0.09434680167548463,2.16587014506863,0.25018302606490633,0.02352698788717131,0.02354545253163929,2.501969403899818,0.7498159739759739,0.017645465609920828,0.017641840755951113,7.498576761784487,9.99959121631006e-07,0.00047054396828672676,0.00047054392563798946,1.0000147359406554e-05,1.000000000000002
0.011421,0.5710500000000001,0.925,0.925,1000041.7123361581,10.000417123361581,473.14999652524324,0.09434760756871559,2.1657240656782037,0.2501654777398611,0.023526896821571806,0.023543512368801273,2.5017591272636373,0.7498335222892046,0.01764548069689431,0.017642037348689688,7.49864799597149,9.99970936262799e-07,0.000470543966340141,0.0004705439129420627,1.0000126473866406e-05,1.000000000000002
0.011421,0.5710500000000001,0.95,0.95,1000027.8081766772,10.000278081766773,473.14999541775956,0.09434857281369648,2.1655760410793095,0.25014763462826894,0.02352681438296218,0.02354154483094963,2.501545907778881,0.7498513653889992,0.01764549352452234,0.017642241112020295,7.498722173882497,9.999827338290751e-07,0.0004705439644002542,0.0004705439002452933,1.0000105415256117e-05,1.000000000000002
0.011421,0.5710500000000001,0.975,0.975,1000013.9040752706,10.000139040752707,473.1499944177206,0.09434969745766962,2.165427628983114,0.250129732440063,0.023526740621623115,0.02353957183978158,2.5013321026269026,0.7498692675654108,0.017645504079585404,0.01764244630386966,7.498796938041502,9.999945282339376e-07,0.0004705439624671023,0.00047054388755200094,1.0000084322331285e-05,1.000000000000002
0.011421,0.5710500000000001,1.0,1.0,1000000.0,10.0,473.14999352448694,0.09435098149921077,2.1652801931266152,0.2501119775457313,0.02352667548605222,0.023537612587365093,2.5011197754573127,0.7498870224479391,0.017645512375521727,0.01764264789702551,7.498870224479392,1.0000063316563372e-06,0.00047054396054064125,0.0004705438748659089,1.0000063316563371e-05,1.0000000000000022
